sentence,label
@Gaychel @Kellee_II @seattlepi even hard facts don't seem to be sinking in... I despair ??,sadness
"If I spend more than £ in shimmy on £ drinks I'll be raging, but we all know it's gonna happen",anger
"@JasonJMikeMgmt ur taking tease lessons from the guys! No fair   LOL, oh well, we'll wait as patiently as we can!",love
Scary question!,joy
im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much,sadness
@iaindodsworth Told you that when you got rid of the last one. Did you listen,love
@mileycyrus cool and aww,anger
You sting like a bee but you're still my honey.,anger
.@DIVAmagazine than straight people. Even the arse straight guys who think that means a threesome is fine.  ,anger
@PARISDENNARD why should I listen to someone with a tie like that? ,fear
went to eastgardens and saw a lot of hillsong pastors there Now im going to Nicks for dinner. Cant wait to talk to you soon @sherrymacs,surprise
aw. nick got his heart broken.  poor baby. i love you!,love
"@NancyErvin The most ghastly thing is the silence from the #AARP. Trump says he won't touch SS, but his tax plan belies that.  Huge cuts.",fear
I want a new lappy,surprise
"But 'for me not to worry, they'll get a glass guy over and bill us for it'",fear
"i'm thinking that tonight's plans are not gonna happen. sigh...sadface. i shouldn't be surprised, but i am.",love
@Nigerianscamsss @TrillSmith you think I came back to twitter and not ruffle a few bushes? Tuh.,anger
Excellent point! Thanks!! I did mean just the left side though.. (I should have specified that). Was glad to learn your insight though..,surprise
"@IkramShahnawaz Oh I love 'em, but when I think about the kind of preservatives they're using to stay &quot;just-baked&quot; it kinda makes me sick",love
having a great time with family!! big ups to my bro n sis in law for hanging out  love n peace! {be free},surprise
Hate being sober so I popped two,sadness
@bdeezy @PleasureNPain lol you guys are awesome,love
So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin,joy
How can America be so openly embracing racism. #dismayed,fear
@yonahimes they never posted stuff like this?????\ni mean i was able to scroll over it so it wasnt a big deal but it was #shocking,fear
hates the net. ayaw bumukas ng twitter.  http://plurk.com/p/wxlxs,surprise
wondering why my boyfriend hasnt called me for a week.. . i think the end is coming for is...,surprise
@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,anger
Extremly deep,surprise
@chelseafc let them know it's the #blues,sadness
Why am I completing facebook quizzes at this time of the morning... especially a friday morning,fear
"Lmboo , using my nephew for meme ",joy
@Miss_Rain oh what the hell  way to tell me.,fear
@REALConformist I loveeee cashis  ms. Jenkins is my shitttt!!!,love
This thunder is scaring the hell out of me...geez...I HATE THUNDER  we better not loose electricity... #fb http://myloc.me/2144,surprise
"Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff",sadness
Oops forgot to shave my legs!  Byebye to my favorite cousin   Bklyn two nights in a row... We go hardd!!!!!!!,surprise
Do not #worry about anything but #pray about everything.,fear
The &quot;Catch Me If You Can&quot; DVD that I rented from Blockbuster.com yesterday was cracked. Figured it out about 35 minutes into the movie.,surprise
"@scottlocker Thank you for that, the notification came in the nick of time to cheer me up - have to re-tweet",joy
"@jacvanek omggg, how were the &quot;crazy cobras&quot; i wantewd to see them when they were in London",surprise
@danisnotonfire you made me cry and shake to the point where my parents had to calm me down and give me calming tablets...,fear
Got word from USAA that the minivan is totalled.  Now we need a high valuation for something to buy a new car with.,surprise
"'Post Brexit Attacks'?
So can I link ALL pre Brexit attacks on the EU!?! Total twisted BS!! Playground media",sadness
The boys rejoice as badger corner has been reclaimed for our first social of the year #cluboftheyear,joy
"my sisters fucking pc, just blued screened me",anger
if we let that in id be fuming poor keeping,anger
9 hours and 10 mins until I can go home and sleep  I hour till I have to go to work :| can't wait for 5 days off this week!,surprise
"@MoneyJay hard to tell in your pic. My mistake then. Either way, nothing I said initially was about race. U took it there. #sad #ignorant",sadness
for an lgbt person to tell someone else that how they identify isn't valid is so sad and against everything we should stand for,sadness
My  teens sons just left in the car to get haircuts. I'm praying up a storm that they make it home safely!! #sad #TerenceCrutcher,sadness
"So depressing to watch news, today out of  bullet news  were of rape! What's wrong with people #india #shameless #depressing",sadness
Put my passport in a safe back after getting back from Australia ??. Only problem is now I can't remember where the safe is!! #panic ??,fear
"@Stormb441 not in this part of Surrey either, feeling quite a bit nippy I must say. Afternoon to you",love
I was just asked by a suit where i was heading to. I didn't think i looked that much like a whore,surprise
@iNanz bet sexy; i added u on myspace!,surprise
but I keep updating.,surprise
"Downloadfestival's lineup isn't as good as i thought it was. There are some other awesome bands doing the festivals, but missing DL",fear
Dammit i just locked the keys in the car! had to call mama whos in laughlin to call AAA for me,anger
"Theresa May is taking too long to show that she ""means ""Brexit"".
Tory Party Conference may be her last chance ...
  ¬†‚Ä¶",love
@XemitSellsMagic add tracking but resent them,anger
#HRmanagement must discourage the expediency factor from encroaching on the rolling out of a credible #workplaceviolenceprevention policy.,sadness
 a guarantee of brexit if adopted,sadness
"@Ssisch Hmmm... Sisch &amp; sound design. So when you say soon, you mean weeks",surprise
@daveweigel a laurel and hearty handshake,joy
Hahaha! Alright  ..,anger
@clarinette02 I am most honoured to receive a Twit tout en francais. But my French not good enough to pick up les nuances en 140...   LOL,love
Hope I sleep - no nightmare of Bakewell tarts #yuk  #GBBO,fear
Jimmy Carr makes me want to cry and cry *shiver* #awful,fear
The current run of superman continues to be a delight! You can feel the love poured into it by everone on the creative team #superman,joy
"At this point, I'm gonna be left here with only Tommy. He is no prize.",surprise
in my dream....They were trying to steal my kidney!!! #nightmare #blackmarket #whydidiwatchthat,fear
Going to have dinner. bbs,anger
Getting my comedic relief w/ @SofiaVergara during season premiere of #ModernFamily. Just what a girl needs! ,joy
So she goes first. She gets her book signed &amp; I can barely take their picture cuz I'm shaking ??????????,fear
I miss when social media was a place to get laughs off and jump in DMs lol..... shit is depressing now ??,sadness
We're all in D. T. (Discipleship training or detox) for something. #messy #fearful #cutoff #choosefreedom #CryOut,fear
Lots of other people are very polite tho and ask if they can approach,love
@David_Henrie wat do u mean by killed it  and yes im sure lady gaga did do awsome,surprise
"@MHChat sadness with resentment is the past, sadness with fear is the future. try to live in the now #MHchat",sadness
"Taking Horse Pills, hoping I can get some sleep tonight",sadness
@shutterbutter @daveydollar ... Way to rub it in guys! Send everyone my love  wish I could be there,surprise
@guillermop you should.,surprise
I AM OFFICIALLY CELEBRATING MY 400TH TWEET. Wow! I am so proud  Its great.,surprise
http://twitpic.com/672s3 - What I woke up to this morning...I didn't want to leave bed.,love
How do adults remain jovial amidst all the bad news?,joy
I was in the dark room for  minutes and failed every time I tried developing a photo I'm so frustrated with myself :'),sadness
Voters 'ill-informed by misleading and negative Brexit campaigns'  ¬† #Birminghampic.twitter.com/ TDLSUTWB ,fear
